class,cliff,zov,objA,objB,scene
同物過切,5.28252489874359,1.0,cups,cups,n3_scene0041
並排有縫,176.39855324873744,0.0,cups,scissors,n3_scene0041
同物過切,6.833498729717602,0.5,cups,cups,n3_scene0041
同物過切,8.079000126321567,1.0,scissors,scissors,n3_scene0041
同物過切,8.234658046034182,1.0,scissors,scissors,n3_scene0041
同物過切,32.23009849516943,0.5,wood_block,wood_block,n3_scene0044
並排有縫,89.82057564644322,1.0,cups,mustard_bottle,n3_scene0045
並排有縫,53.873443706083826,0.0,cups,mustard_bottle,n3_scene0045
並排有縫,20.580231945422245,0.0,baseball,cracker_box,n3_scene0046
並排有縫,20.580231945422245,1.0,baseball,cracker_box,n3_scene0046
同物過切,8.390451338876947,1.0,cracker_box,cracker_box,n3_scene0046
同物過切,7.496117306154071,1.0,cups,cups,n3_scene0047
並排有縫,212.57272666166227,0.6,cups,orange,n3_scene0048
並排有縫,212.57272666166227,0.0,cups,orange,n3_scene0048
同物過切,7.8001174327780864,1.0,scissors,scissors,n3_scene0048
同物過切,4.999995445549987,0.6666666666666666,knife,knife,n3_scene0051
並排有縫,148.71923551275498,1.0,mug,rubiks_cube,n3_scene0051
同物過切,12.34609994234981,0.2,potted_meat_can,potted_meat_can,n3_scene0052
並排有縫,221.61167872374887,0.0,golf_ball,potted_meat_can,n3_scene0052
並排有縫,220.74549042909987,1.0,golf_ball,potted_meat_can,n3_scene0052
同物過切,34.90599337271581,0.0,master_chef_can,master_chef_can,n3_scene0053
並排有縫,99.9422186237808,1.0,master_chef_can,nine_hole_peg_test,n3_scene0053
並排有縫,141.5874606816297,0.0,master_chef_can,nine_hole_peg_test,n3_scene0053
並排有縫,34.8319617103922,0.3076923076923077,master_chef_can,nine_hole_peg_test,n3_scene0053
並排有縫,115.94385579904582,1.0,master_chef_can,gelatin_box,n3_scene0053
並排有縫,130.12597990044063,1.0,master_chef_can,nine_hole_peg_test,n3_scene0053
並排有縫,127.62028185008162,0.38461538461538464,nine_hole_peg_test,master_chef_can,n3_scene0053
同物過切,11.593905651331506,1.0,nine_hole_peg_test,nine_hole_peg_test,n3_scene0053
並排有縫,130.12597990044063,0.0,master_chef_can,nine_hole_peg_test,n3_scene0053
並排有縫,142.73974198592498,0.0,master_chef_can,nine_hole_peg_test,n3_scene0053
並排有縫,124.70893036897967,0.0,master_chef_can,gelatin_box,n3_scene0053
同物過切,20.309458197128816,1.0,power_drill,power_drill,n3_scene0054
同物過切,8.74163571724662,1.0,apple,apple,n3_scene0054
同物過切,64.58033961259113,0.42857142857142855,tomato_soup_can,tomato_soup_can,n3_scene0055
同物過切,4.998859513072329,1.0,fork,fork,n3_scene0056
同物過切,8.064227329060925,1.0,bleach_cleanser,bleach_cleanser,n3_scene0058
同物過切,8.064658627197407,0.0,bleach_cleanser,bleach_cleanser,n3_scene0058
同物過切,12.297288679513683,0.6666666666666666,bleach_cleanser,bleach_cleanser,n3_scene0058
並排有縫,32.57516661135568,1.0,pitcher_base,cups,n3_scene0058
並排有縫,188.694062083968,0.875,pitcher_base,bleach_cleanser,n3_scene0058
同物過切,4.999312413946688,0.875,pitcher_base,pitcher_base,n3_scene0058
並排有縫,231.93012666051482,0.9166666666666666,pitcher_base,bleach_cleanser,n3_scene0058
並排有縫,261.69123208813613,1.0,bleach_cleanser,pitcher_base,n3_scene0058
並排有縫,261.69123208813613,0.6666666666666666,pitcher_base,bleach_cleanser,n3_scene0058
並排有縫,394.23599877533024,0.0,pitcher_base,cups,n3_scene0058
同物過切,88.65279273203937,0.38461538461538464,sugar_box,sugar_box,n3_scene0059
同物過切,7.072679973522011,0.07692307692307693,sugar_box,sugar_box,n3_scene0059
同物過切,15.610589620576043,0.0,sugar_box,sugar_box,n3_scene0059
同物過切,68.89852541247127,0.15384615384615385,sugar_box,sugar_box,n3_scene0059
同物過切,13.534534848089697,0.0,sugar_box,sugar_box,n3_scene0059
同物過切,7.193403958330526,0.3333333333333333,tuna_fish_can,tuna_fish_can,n3_scene0060
並排有縫,139.10349794394116,1.0,cups,bowl,n3_scene0061
並排有縫,116.70830543351136,1.0,bowl,lemon,n3_scene0061
並排有縫,102.92630544406056,1.0,cups,large_marker,n4_scene0001
並排有縫,258.03695224018986,0.0,cracker_box,orange,n4_scene0001
並排有縫,258.03695224018986,1.0,cracker_box,orange,n4_scene0001
並排有縫,259.15090733142074,0.8,cracker_box,orange,n4_scene0001
同物過切,4.398358777215506,0.8846153846153846,cracker_box,cracker_box,n4_scene0001
並排有縫,8.53533171705334,1.0,nine_hole_peg_test,master_chef_can,n4_scene0002
並排有縫,163.01308850981155,1.0,cups,nine_hole_peg_test,n4_scene0002
並排有縫,163.01308850981155,1.0,cups,nine_hole_peg_test,n4_scene0002
同物過切,8.079505717702995,1.0,nine_hole_peg_test,nine_hole_peg_test,n4_scene0002
同物過切,11.076973069044872,0.5,master_chef_can,master_chef_can,n4_scene0002
同物過切,6.829592475916191,1.0,phillips_screwdriver,phillips_screwdriver,n4_scene0003
並排有縫,68.42046371691973,1.0,apple,tomato_soup_can,n4_scene0004
並排有縫,245.95396825487293,1.0,tomato_soup_can,large_clamp,n4_scene0004
並排有縫,243.45234671205023,0.0,tomato_soup_can,large_clamp,n4_scene0004
同物過切,10.538608857806054,0.9166666666666666,apple,apple,n4_scene0004
同物過切,3.7995129225640865,1.0,fork,fork,n4_scene0006
同物過切,36.944786446259315,0.8,cups,cups,n4_scene0007
同物過切,12.804593568661593,1.0,power_drill,power_drill,n4_scene0007
同物過切,3.9778195185069647,0.6666666666666666,knife,knife,n4_scene0007
同物過切,18.128161442914625,1.0,power_drill,power_drill,n4_scene0007
同物過切,4.629475744003566,1.0,extra_large_clamp,extra_large_clamp,n4_scene0007
同物過切,9.325592042994213,1.0,power_drill,power_drill,n4_scene0007
同物過切,5.45445678896489,1.0,power_drill,power_drill,n4_scene0007
同物過切,5.898654704729013,1.0,cups,cups,n4_scene0008
並排有縫,111.72234744575805,1.0,cups,tuna_fish_can,n4_scene0008
並排有縫,148.12336964434368,1.0,cups,potted_meat_can,n4_scene0008
並排有縫,108.37472605136611,1.0,cups,tuna_fish_can,n4_scene0008
同物過切,10.000244646566347,0.0,potted_meat_can,potted_meat_can,n4_scene0008
同物過切,7.192016069465291,0.6666666666666666,tuna_fish_can,tuna_fish_can,n4_scene0008
同物過切,6.3982168760308715,0.5714285714285714,cups,cups,n4_scene0009
並排有縫,47.86047287854189,1.0,mug,mini_soccer_ball,n4_scene0009
並排有縫,147.46550502195376,1.0,mug,mini_soccer_ball,n4_scene0009
並排有縫,145.17900714308018,1.0,cups,mug,n4_scene0009
同物過切,4.833028544401207,0.14285714285714285,mug,mug,n4_scene0009
同物過切,5.691755573354318,1.0,scissors,scissors,n4_scene0011
同物過切,32.92599829728712,0.25,bleach_cleanser,bleach_cleanser,n4_scene0011
同物過切,2.1790073799623775,0.0,bleach_cleanser,bleach_cleanser,n4_scene0011
並排有縫,140.9802786675115,1.0,cups,bleach_cleanser,n4_scene0011
同物過切,9.788125183495255,1.0,scissors,scissors,n4_scene0011
並排有縫,119.44304720006437,1.0,bleach_cleanser,bowl,n4_scene0011
同物過切,14.135985022126707,0.9090909090909091,bleach_cleanser,bleach_cleanser,n4_scene0011
並排有縫,231.51393700337022,0.0,bowl,bleach_cleanser,n4_scene0011
並排有縫,20.86838959958387,1.0,pitcher_base,rubiks_cube,n4_scene0012
同物過切,49.36198017280889,1.0,rubiks_cube,rubiks_cube,n4_scene0012
同物過切,130.1059212453734,1.0,pitcher_base,pitcher_base,n4_scene0012
同物過切,130.1059212453734,1.0,pitcher_base,pitcher_base,n4_scene0012
同物過切,34.474487759410174,1.0,pitcher_base,pitcher_base,n4_scene0012
同物過切,9.032365590868803,0.0,pitcher_base,pitcher_base,n4_scene0012
同物過切,9.032365590868803,0.0,pitcher_base,pitcher_base,n4_scene0012
並排有縫,259.0869711598303,1.0,wood_block,sugar_box,n4_scene0013
並排有縫,286.061594004681,1.0,wood_block,sugar_box,n4_scene0013
並排有縫,288.8127898031158,1.0,wood_block,sugar_box,n4_scene0013
同物過切,10.142212926739038,0.06666666666666667,sugar_box,sugar_box,n4_scene0013
並排有縫,286.061594004681,1.0,sugar_box,wood_block,n4_scene0013
並排有縫,274.4670149685784,1.0,sugar_box,wood_block,n4_scene0013
並排有縫,289.31316868687315,1.0,wood_block,sugar_box,n4_scene0013
同物過切,10.68226611403572,0.06666666666666667,sugar_box,sugar_box,n4_scene0013
同物過切,3.5509144792480463,1.0,sugar_box,sugar_box,n4_scene0013
同物過切,47.73113077601158,0.4,wood_block,wood_block,n4_scene0013
並排有縫,174.23420354022528,0.0,wood_block,baseball,n4_scene0013
同物過切,6.83081448525813,1.0,sugar_box,sugar_box,n4_scene0013
並排有縫,173.3500813145833,1.0,wood_block,baseball,n4_scene0013
同物過切,5.562605786237795,0.8333333333333334,cups,cups,n4_scene0014
同物過切,4.661518250396401,0.8888888888888888,cups,cups,n4_scene0014
並排有縫,130.40166505361006,0.6666666666666666,cups,tennis_ball,n4_scene0014
並排有縫,71.51391738759338,1.0,cups,padlock,n4_scene0014
並排有縫,42.326229531178925,1.0,cups,padlock,n4_scene0014
同物過切,11.715289605855661,0.16666666666666666,cups,cups,n4_scene0014
同物過切,8.089769901426159,1.0,scissors,scissors,n4_scene0016
同物過切,5.115532538734813,0.42857142857142855,cups,cups,n4_scene0017
同物過切,5.79926783717275,0.6666666666666666,cups,cups,n4_scene0017
並排有縫,12.69460027812939,1.0,cups,cups,n4_scene0017
並排有縫,78.90501775356196,0.8571428571428571,cups,cups,n4_scene0017
同物過切,8.365416712071138,1.0,potted_meat_can,potted_meat_can,n4_scene0017
並排有縫,145.82872816055766,1.0,softball,sponge,n4_scene0018
並排有縫,103.12268120201801,1.0,pitcher_base,lemon,n4_scene0019
同物過切,10.446162732550334,1.0,pitcher_base,pitcher_base,n4_scene0019
並排有縫,175.05468916380497,0.0,lemon,pitcher_base,n4_scene0019
並排有縫,70.36182225154886,1.0,apple,tuna_fish_can,n4_scene0020
同物過切,9.574511902219808,1.0,apple,apple,n4_scene0020
並排有縫,67.15592522171434,0.8571428571428571,tuna_fish_can,apple,n4_scene0020
同物過切,7.072679973521345,0.6,tuna_fish_can,tuna_fish_can,n4_scene0020
並排有縫,47.780421441285306,1.0,apple,tuna_fish_can,n4_scene0020
同物過切,9.119852884021906,0.8888888888888888,bowl,bowl,n4_scene0021
同物過切,30.04600068216529,1.0,power_drill,power_drill,n4_scene0022
同物過切,7.361282698213836,1.0,power_drill,power_drill,n4_scene0022
同物過切,6.800840685906067,1.0,power_drill,power_drill,n4_scene0022
同物過切,17.07039899966678,1.0,cups,cups,n4_scene0023
同物過切,46.74088488108657,0.2857142857142857,mustard_bottle,mustard_bottle,n4_scene0024
並排有縫,161.98905274152665,1.0,mustard_bottle,cups,n4_scene0024
並排有縫,160.08160933141113,0.0,mustard_bottle,cups,n4_scene0024
同物過切,25.003106238733587,1.0,mustard_bottle,mustard_bottle,n4_scene0024
同物過切,35.05501671361005,0.0,sugar_box,sugar_box,n4_scene0025
同物過切,18.434487632281446,0.13333333333333333,sugar_box,sugar_box,n4_scene0025
並排有縫,289.2491996492311,0.6666666666666666,sugar_box,cracker_box,n4_scene0025
並排有縫,282.94391174238723,1.0,sugar_box,cracker_box,n4_scene0025
並排有縫,282.94391174238723,0.26666666666666666,sugar_box,cracker_box,n4_scene0025
同物過切,8.818809025264883,0.0,cracker_box,cracker_box,n4_scene0025
同物過切,18.367199354896947,1.0,spoon,spoon,n4_scene0025
同物過切,44.04536089403288,0.4,cracker_box,cracker_box,n4_scene0025
同物過切,76.47557968499241,0.8,sugar_box,sugar_box,n4_scene0025
同物過切,13.084114639268062,0.7857142857142857,cracker_box,cracker_box,n4_scene0025
同物過切,13.084114639268062,1.0,cracker_box,cracker_box,n4_scene0025
同物過切,23.142025912087515,0.0,sugar_box,sugar_box,n4_scene0025
同物過切,15.08908457439755,0.7727272727272727,cracker_box,cracker_box,n4_scene0025
並排有縫,33.949915525353205,0.0,cracker_box,spoon,n4_scene0025
並排有縫,33.949915525353205,1.0,cracker_box,spoon,n4_scene0025
並排有縫,251.48173965749294,0.0,cracker_box,spoon,n4_scene0025
並排有縫,251.48173965749294,1.0,cracker_box,spoon,n4_scene0025
並排有縫,134.66091145329463,1.0,pear,tennis_ball,n4_scene0027
並排有縫,255.39071772693703,1.0,wood_block,pear,n4_scene0027
同物過切,25.60559849950034,0.6666666666666666,wood_block,wood_block,n4_scene0027
並排有縫,314.04988780010444,1.0,wood_block,tennis_ball,n4_scene0027
並排有縫,314.04988780010444,1.0,tennis_ball,wood_block,n4_scene0027
並排有縫,269.1556267472263,0.0,wood_block,pear,n4_scene0027
並排有縫,11.448567373286313,0.0,cups,master_chef_can,n4_scene0028
同物過切,15.30381457772567,0.2857142857142857,master_chef_can,master_chef_can,n4_scene0028
同物過切,5.000362048354634,1.0,knife,knife,n4_scene0028
並排有縫,92.15354180026891,1.0,cups,master_chef_can,n4_scene0028
同物過切,23.745407778331952,1.0,cups,cups,n4_scene0028
並排有縫,92.32208506019435,0.7857142857142857,cups,master_chef_can,n4_scene0028
並排有縫,128.4001813977015,1.0,master_chef_can,cups,n4_scene0028
並排有縫,109.13881682939831,0.0,cups,master_chef_can,n4_scene0028
同物過切,11.797929969077,0.0,bleach_cleanser,bleach_cleanser,n4_scene0029
同物過切,4.998859513072274,0.0,bleach_cleanser,bleach_cleanser,n4_scene0029
並排有縫,83.25756473079993,1.0,nine_hole_peg_test,bleach_cleanser,n4_scene0029
並排有縫,83.23187843721024,1.0,nine_hole_peg_test,bleach_cleanser,n4_scene0029
並排有縫,254.13991957858235,1.0,bleach_cleanser,fork,n4_scene0029
