scene,view,objA,objB,same,plane_step_mm,plane_step_rel,plane_step_reldepth,plane_step_relrange,region_diff_mm,tall
stack5_scene0001,view_el60_az195,cracker_box,apple,0,195.5,9.96,345.53,1.57,170.7,1
stack5_scene0001,view_el60_az195,cracker_box,flat_screwdriver,0,338.6,12.02,602.93,2.51,228.7,1
stack5_scene0001,view_el60_az195,cracker_box,flat_screwdriver,0,15.0,0.36,32.87,0.11,211.9,1
stack5_scene0001,view_el60_az195,cracker_box,apple,0,172.7,7.68,312.57,1.35,157.7,1
stack5_scene0001,view_el60_az195,cracker_box,flat_screwdriver,0,13.6,0.33,30.11,0.11,213.7,1
stack5_scene0001,view_el60_az195,cracker_box,apple,0,182.1,8.03,324.7,1.33,153.8,1
stack5_scene0001,view_el60_az195,master_chef_can,master_chef_can,1,17.7,1.71,35.15,0.24,41.2,1
stack5_scene0001,view_el60_az195,cracker_box,cracker_box,1,2.1,0.55,4.1,0.02,25.2,1
stack5_scene0001,view_el60_az255,master_chef_can,master_chef_can,1,34.6,2.78,78.5,0.57,43.2,1
stack5_scene0001,view_el60_az255,cracker_box,cracker_box,1,0.3,0.14,0.58,0.01,37.4,1
stack5_scene0001,view_el60_az255,cracker_box,cracker_box,1,2.5,0.64,4.59,0.05,40.3,1
stack5_scene0001,view_el75_az105,cracker_box,master_chef_can,0,143.6,8.48,271.88,1.0,116.4,1
stack5_scene0001,view_el75_az105,cracker_box,master_chef_can,0,153.0,16.95,287.06,1.84,148.7,1
stack5_scene0001,view_el75_az105,master_chef_can,master_chef_can,1,3.9,0.59,7.15,0.08,40.4,1
stack5_scene0001,view_el75_az105,flat_screwdriver,flat_screwdriver,1,1.9,0.72,2.96,0.12,4.9,1
stack5_scene0001,view_el75_az225,cracker_box,apple,0,192.4,11.18,361.09,2.59,187.5,1
stack5_scene0001,view_el75_az225,cracker_box,apple,0,192.3,13.22,360.34,2.79,177.9,1
stack5_scene0001,view_el75_az225,cracker_box,apple,0,100.6,3.46,170.57,1.2,188.2,1
stack5_scene0001,view_el75_az225,master_chef_can,master_chef_can,1,34.2,2.59,69.23,0.79,58.4,1
stack5_scene0001,view_el75_az225,apple,apple,1,16.2,2.03,25.84,0.49,19.6,0
stack5_scene0001,view_el75_az225,flat_screwdriver,flat_screwdriver,1,3.6,1.08,5.55,0.35,2.1,1
stack5_scene0001,view_el90,master_chef_can,master_chef_can,1,19.9,1.87,38.6,0.66,60.1,1
stack5_scene0001,view_el90,apple,apple,1,17.4,2.34,29.74,0.63,20.0,0
stack5_scene0001,view_el90,flat_screwdriver,flat_screwdriver,1,9.1,4.64,14.47,247.94,5.1,1
stack5_scene0001,view_el90,flat_screwdriver,flat_screwdriver,1,11.2,3.3,17.91,0.75,15.1,1
stack3_scene0005,view_el30_az135,foam_brick,gelatin_box,0,23.0,1.82,40.67,0.64,12.5,0
stack3_scene0005,view_el30_az195,foam_brick,gelatin_box,0,0.7,0.13,1.22,0.02,11.4,0
stack3_scene0005,view_el30_az210,foam_brick,gelatin_box,0,14.7,1.38,24.49,0.43,14.1,0
stack3_scene0005,view_el30_az210,racquetball,racquetball,1,12.6,1.69,26.68,0.59,7.2,0
stack3_scene0005,view_el30_az240,foam_brick,gelatin_box,0,27.3,2.13,43.8,0.72,19.9,0
stack3_scene0005,view_el30_az240,racquetball,racquetball,1,9.4,0.91,20.08,0.41,0.5,0
stack3_scene0005,view_el45_az135,foam_brick,gelatin_box,0,32.7,2.73,57.99,0.8,23.4,0
stack3_scene0005,view_el45_az225,foam_brick,gelatin_box,0,33.2,2.64,54.78,0.72,28.3,0
stack3_scene0005,view_el45_az225,racquetball,racquetball,1,8.2,1.13,16.92,0.34,6.7,0
stack3_scene0005,view_el60_az180,foam_brick,gelatin_box,0,21.4,2.35,37.54,0.47,32.1,0
stack3_scene0005,view_el60_az180,foam_brick,gelatin_box,0,21.0,2.3,36.79,0.46,32.0,0
stack3_scene0005,view_el60_az195,foam_brick,gelatin_box,0,23.0,2.41,39.82,0.51,31.9,0
stack3_scene0005,view_el60_az255,foam_brick,gelatin_box,0,41.3,3.48,68.18,0.84,34.6,0
stack3_scene0005,view_el60_az255,gelatin_box,foam_brick,0,27.9,3.1,45.71,0.61,31.6,0
stack3_scene0005,view_el75_az105,foam_brick,gelatin_box,0,46.7,3.94,80.48,2.07,45.2,0
stack3_scene0005,view_el75_az225,foam_brick,gelatin_box,0,55.8,7.41,94.32,1.51,45.8,0
